Question,Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Category,Assignee
What animal has the highest blood pressure?,Giraffe,Dog,Elephant,Cheetah,Science,Min Ji
What is the building block of matter?,Molecule,Atom,Cell,Proton,Science,Min Ji
C is an abbreviation of which chemical component?,Carbon,Calcium,Copper,Cobalt,Science,Min Ji
Which of these is a theory about the creation of the universe?,Evolution,Plate Tectonics,Big Bang,String Theory,Science,Min Ji
Speleologists study _____.  ,Volcanoes,Caves,Fossils,Oceans,Science,Min Ji
What's the only liquid metal?,Gallium,Lead,Sodium,Mercury,Science,Min Ji
What is the speed of sound?,844 m/s,975 m/s,500 m/s,343 m/s,Science,Min Ji
Which part of the eye responds to light?,Cornea,Retina,Iris,Lens,Science,Min Ji
How old can a camel be?,30,40,50,60,Science,Min Ji
What does vexillology study?,Stamps,Flags,Coins,Maps,Science,Min Ji
How many chromosomes does the average human have?,23,44,46,22,Science,Min Ji
Which vitamin is necessary to absorb calcium?,Vitamin A,Vitamin C,Vitamin D,Vitamin K,Science,Min Ji
Which is the range of the pH scale?,0 to 6,6 to 12,0 to 12,0 to 14,Science,Min Ji
What's the biggest mammal?,Elephant,Whale,Giraffe,Bear,Science,Min Ji
Who made the Pea plant experiment?,Charles Darwin,Gregor Mendel,Louis Pasteur,Issac Newton,Science,Min Ji
"The dog, wold, coyote, and fox are members of what family?",Canine,Feline,Lizard,Avian,Science,Min Ji
How many stomachs do cows have?,1,2,3,4,Science,Min Ji
What is the chemical sign for aluminum?,Al,Am,Lm,Mm,Science,Min Ji
How many seconds are one hour?,60,1200,3600,36,Science,Min Ji
What planet is the hottest in our solar system?,Mercury,Venus,Mars,Jupiter,Science,Min Ji
What planet is famous for its beautiful rings?,Jupiter,Neptune,Saturn,Uranus,Science,Min Ji
What organelle is known as the powerhouse of the cell?,Nucleus,Ribosome,Golgi Apparatus,Mitochondria,Science,Min Ji
What molecule carries genetic information in most living organisms?,RNA,DNA,Protein,Lipid,Science,Min Ji
What is the pH of a neutral solution?,5,6,7,8,Science,Min Ji
What is the atomic number of carbon?,6,7,8,9,Science,Min Ji
What force pulls objects toward the center of the Earth?,Magnetism,Friction,Gravity,Inertia,Science,Min Ji
What is the SI unit of power?,Watt,Joule,Newton,Pascal,Science,Min Ji
Who developed the theory of general relativity?,Albert Einstein,Issac Newton,Nikola Tesla,Galileo Galilei,Science,Min Ji
What is the SI unit of electric current?,Volt,Ohm,Watt,Ampere,Science,Min Ji
What is the term for the amount of energy required to remove an electron from an atom or ion?,Electron Affinity,Ionization Energy,Electronegativity,Atomic Radius,Science,Min Ji
What is the tallest type of grass?,Wheat,Sugarcane,Corn,Bamboo,Science,Min Ji
The rarest blood type is ___. ,O-,A-,B-,AB-,Science,Min Ji
The Sun is a star.,TRUE,FALSE,,,Science,Min Ji
The Earth is the only planet in our solar system with liquid water.,TRUE,FALSE,,,Science,Min Ji
Sound travels faster than light.,TRUE,FALSE,,,Science,Min Ji
What is the outermost layer of the Earth called?,Mantle,Core,Crust,Lithosphere,Science,Min Ji
What percentage of human body is made up of water?,50%,60%,70%,80%,Science,Min Ji
Who is credited with inventing the telephone?,Thomas Edison,Nikola Tesla,Alexander Graham Bell,Guglielmo Marconi,Science,Min Ji
What is the boiling point of water?,100 degress celcius,200 degress celcius,300 degress celcius,400 degress celcius,Science,Min Ji
What is the freezing point of water?,-10 degress celcius,-5 degress celcius,0 degress celcius,100 degress celcius,Science,Min Ji
